epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.5134,1.41225,1.73095,1.09814,0.5628,0.45862,0.47731,0.27436,1.26944,1.12327,1.05187,0.000415396,0.000415396,0.000415396
2,155.619,1.29088,1.10353,1.07327,0.58665,0.48195,0.53163,0.31095,1.24879,1.01684,1.08001,0.000804605,0.000804605,0.000804605
3,227.53,1.2737,0.99128,1.07141,0.63304,0.52787,0.58798,0.3433,1.19743,0.901,1.05862,0.00116631,0.00116631,0.00116631
4,296.976,1.23787,0.91114,1.06054,0.68486,0.53042,0.60183,0.35929,1.15277,0.88659,1.05103,0.00112625,0.00112625,0.00112625
5,365.272,1.19225,0.85943,1.04612,0.70996,0.54593,0.63671,0.37072,1.1604,0.83094,1.05051,0.001085,0.001085,0.001085
6,434.333,1.16199,0.82627,1.03419,0.72485,0.57451,0.64336,0.39279,1.11588,0.8012,1.02891,0.00104375,0.00104375,0.00104375
7,503.902,1.1276,0.78528,1.0192,0.67697,0.62799,0.6793,0.41551,1.08065,0.7761,1.0115,0.0010025,0.0010025,0.0010025
8,573.234,1.12009,0.7734,1.01119,0.73709,0.62026,0.70867,0.43492,1.06708,0.74045,1.01143,0.00096125,0.00096125,0.00096125
9,642.479,1.09819,0.74614,1.00617,0.78362,0.63666,0.71835,0.44217,1.04396,0.72656,1.00299,0.00092,0.00092,0.00092
10,711.549,1.0838,0.73471,1.00069,0.7554,0.63965,0.72481,0.4479,1.05652,0.71147,1.00546,0.00087875,0.00087875,0.00087875
11,781.253,1.07391,0.72203,0.99669,0.77725,0.64956,0.7341,0.45616,1.03895,0.70694,0.998,0.0008375,0.0008375,0.0008375
12,850.925,1.05221,0.70312,0.98676,0.7809,0.67583,0.76351,0.47882,1.01215,0.67407,0.99037,0.00079625,0.00079625,0.00079625
13,920.027,1.04049,0.69075,0.98418,0.76099,0.69412,0.77079,0.49632,1.0043,0.66101,0.98888,0.000755,0.000755,0.000755
14,989.647,1.02305,0.67973,0.97974,0.80077,0.67759,0.77009,0.49137,1.01203,0.67016,0.99311,0.00071375,0.00071375,0.00071375
15,1058.2,1.01917,0.67202,0.97417,0.79239,0.71092,0.78887,0.5064,0.97421,0.63691,0.97216,0.0006725,0.0006725,0.0006725
16,1126.68,1.00315,0.65864,0.97115,0.82957,0.69585,0.79547,0.50845,0.96924,0.62657,0.97947,0.00063125,0.00063125,0.00063125
17,1195.08,1.00703,0.65734,0.97212,0.80303,0.71544,0.79776,0.51764,0.96464,0.62694,0.97241,0.00059,0.00059,0.00059
18,1263.87,0.98811,0.63891,0.96231,0.82565,0.709,0.79245,0.51287,0.95711,0.61209,0.96673,0.00054875,0.00054875,0.00054875
19,1333.18,0.9732,0.62956,0.95912,0.85593,0.71756,0.81838,0.53229,0.93408,0.60238,0.96125,0.0005075,0.0005075,0.0005075
20,1402.32,0.96469,0.61999,0.95381,0.81947,0.73409,0.81569,0.53474,0.93209,0.60101,0.95927,0.00046625,0.00046625,0.00046625
21,1498.02,0.94987,0.60878,0.9535,0.8431,0.71856,0.8107,0.52992,0.94499,0.59771,0.97009,0.000425,0.000425,0.000425
22,1565.49,0.9304,0.59088,0.94648,0.84718,0.749,0.82171,0.5387,0.93327,0.59171,0.95807,0.00038375,0.00038375,0.00038375
23,1633.64,0.91407,0.57938,0.94495,0.83972,0.72735,0.82007,0.54704,0.92848,0.58769,0.95507,0.0003425,0.0003425,0.0003425
24,1702,0.90261,0.56878,0.93499,0.86566,0.74592,0.83761,0.55735,0.90854,0.58008,0.95228,0.00030125,0.00030125,0.00030125
25,1770.6,0.88697,0.55775,0.93178,0.87451,0.74478,0.83489,0.55762,0.90798,0.56838,0.94465,0.00026,0.00026,0.00026
26,1838.65,0.87864,0.5502,0.92609,0.90412,0.74205,0.84818,0.56923,0.89825,0.56411,0.94676,0.00021875,0.00021875,0.00021875
27,1907.14,0.86365,0.5393,0.92521,0.87301,0.75391,0.84564,0.57176,0.88767,0.55619,0.94466,0.0001775,0.0001775,0.0001775
28,1975.23,0.8498,0.52917,0.92055,0.87771,0.76776,0.85264,0.57993,0.87903,0.54961,0.93995,0.00013625,0.00013625,0.00013625
29,2042.94,0.83531,0.52039,0.91572,0.88084,0.76806,0.85129,0.5833,0.86854,0.54178,0.93582,9.5e-05,9.5e-05,9.5e-05
30,2110.96,0.82494,0.51428,0.91043,0.88165,0.76376,0.85755,0.58699,0.86606,0.53709,0.93582,5.375e-05,5.375e-05,5.375e-05
