epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.5345,1.79061,1.89364,1.07347,0.61116,0.24655,0.26213,0.12458,1.56372,1.18609,1.05348,0.000415396,0.000415396,0.000415396
2,155.355,1.63125,1.16192,1.03027,0.71037,0.3126,0.34262,0.17138,1.51419,1.1172,1.04284,0.000804605,0.000804605,0.000804605
3,219.405,1.60153,1.09745,1.01769,0.46145,0.37759,0.35897,0.1753,1.5189,1.16984,1.05162,0.00116631,0.00116631,0.00116631
4,281.169,1.56218,1.02931,1.01127,0.53198,0.38396,0.40909,0.21875,1.42317,0.95155,1.01388,0.00112625,0.00112625,0.00112625
5,343.697,1.5003,0.97941,0.99349,0.51047,0.39784,0.41679,0.21585,1.3964,0.92875,1.0103,0.001085,0.001085,0.001085
6,405.299,1.45874,0.93119,0.98074,0.55865,0.41875,0.44088,0.23479,1.3743,0.89465,0.99998,0.00104375,0.00104375,0.00104375
7,466.548,1.43365,0.90276,0.97428,0.63657,0.40554,0.45598,0.24928,1.33882,0.85842,0.99077,0.0010025,0.0010025,0.0010025
8,527.815,1.41324,0.89217,0.96429,0.58691,0.43528,0.47104,0.25183,1.32997,0.84008,0.9849,0.00096125,0.00096125,0.00096125
9,590.232,1.39169,0.86949,0.96204,0.66216,0.43955,0.48833,0.26368,1.2958,0.81315,0.98133,0.00092,0.00092,0.00092
10,651.99,1.3725,0.8543,0.95692,0.69454,0.42177,0.48725,0.26671,1.28547,0.81379,0.97996,0.00087875,0.00087875,0.00087875
11,713.355,1.35536,0.84021,0.95217,0.64532,0.44649,0.49884,0.27367,1.2524,0.79921,0.9679,0.0008375,0.0008375,0.0008375
12,775.371,1.33423,0.81972,0.94276,0.64313,0.44168,0.50208,0.27741,1.22994,0.78573,0.96024,0.00079625,0.00079625,0.00079625
13,836.94,1.32393,0.81282,0.944,0.58194,0.48405,0.51479,0.27861,1.24725,0.77696,0.96552,0.000755,0.000755,0.000755
14,898.627,1.30398,0.79562,0.9391,0.67854,0.45377,0.5154,0.29366,1.21613,0.75404,0.95634,0.00071375,0.00071375,0.00071375
15,960.527,1.29863,0.78845,0.93363,0.68331,0.46676,0.5249,0.29694,1.21235,0.75635,0.96046,0.0006725,0.0006725,0.0006725
16,1023.39,1.28123,0.78144,0.93375,0.65457,0.46083,0.52268,0.2935,1.2163,0.75204,0.96179,0.00063125,0.00063125,0.00063125
17,1085.4,1.28593,0.77651,0.93229,0.7271,0.45988,0.5469,0.30963,1.17782,0.73045,0.9499,0.00059,0.00059,0.00059
18,1148.16,1.26155,0.76062,0.92393,0.65384,0.49416,0.54835,0.3116,1.19094,0.7288,0.9469,0.00054875,0.00054875,0.00054875
19,1211.56,1.24901,0.75123,0.92321,0.6475,0.49666,0.55586,0.31576,1.16819,0.71485,0.94492,0.0005075,0.0005075,0.0005075
20,1275.78,1.23971,0.74593,0.91757,0.70728,0.52213,0.57738,0.32645,1.16517,0.7097,0.94138,0.00046625,0.00046625,0.00046625
21,1367.11,1.21926,0.73904,0.9184,0.68525,0.50016,0.56428,0.32097,1.1893,0.71653,0.9466,0.000425,0.000425,0.000425
22,1429.7,1.19927,0.71288,0.91381,0.67944,0.50755,0.56915,0.32883,1.1636,0.70546,0.94135,0.00038375,0.00038375,0.00038375
23,1491.82,1.17898,0.70401,0.91129,0.67351,0.51586,0.57114,0.32541,1.1502,0.69748,0.94002,0.0003425,0.0003425,0.0003425
24,1553.68,1.16321,0.68911,0.90518,0.64619,0.55235,0.59852,0.33991,1.14286,0.68502,0.93895,0.00030125,0.00030125,0.00030125
25,1615.8,1.14502,0.67714,0.9012,0.68524,0.54364,0.59508,0.34224,1.15033,0.68144,0.93871,0.00026,0.00026,0.00026
26,1676.78,1.13244,0.66908,0.89764,0.73015,0.51464,0.59459,0.34247,1.12955,0.67098,0.93392,0.00021875,0.00021875,0.00021875
27,1737.52,1.12432,0.66309,0.89798,0.7367,0.52565,0.60666,0.35048,1.1222,0.66143,0.9334,0.0001775,0.0001775,0.0001775
28,1799.32,1.10902,0.65377,0.8921,0.69967,0.5649,0.61905,0.35638,1.11051,0.65782,0.9296,0.00013625,0.00013625,0.00013625
29,1860.85,1.09781,0.64092,0.88932,0.74972,0.53939,0.62654,0.36163,1.09968,0.65098,0.92661,9.5e-05,9.5e-05,9.5e-05
30,1921.5,1.08603,0.63822,0.88746,0.68639,0.5665,0.6205,0.35894,1.09371,0.64657,0.92608,5.375e-05,5.375e-05,5.375e-05
