epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.4953,1.40125,1.75443,1.13958,0.48529,0.47129,0.46426,0.2702,1.23156,1.09973,1.05971,0.00332317,0.00332317,0.0700915
2,134.684,1.30518,1.10289,1.08828,0.69607,0.49858,0.57819,0.34047,1.21787,0.99404,1.0559,0.00643684,0.00643684,0.0398718
3,197.982,1.32585,1.06596,1.09728,0.61124,0.53089,0.55025,0.31221,1.24338,1.09288,1.10292,0.00933051,0.00933051,0.00943213
4,260.478,1.32225,1.03291,1.09826,0.68477,0.46029,0.53593,0.30364,1.24406,1.0762,1.09052,0.00901,0.00901,0.00901
5,321.815,1.26541,0.9628,1.07593,0.65286,0.52641,0.57537,0.33427,1.18677,0.9019,1.06769,0.00868,0.00868,0.00868
6,383.379,1.22404,0.90797,1.06033,0.72138,0.603,0.66214,0.38877,1.16481,0.84795,1.04739,0.00835,0.00835,0.00835
7,445.167,1.18406,0.86149,1.04332,0.69448,0.58004,0.6557,0.3943,1.10318,0.81164,1.03452,0.00802,0.00802,0.00802
8,506.349,1.1658,0.8386,1.03014,0.73182,0.59425,0.68265,0.41938,1.09657,0.79248,1.02826,0.00769,0.00769,0.00769
9,567.753,1.13815,0.80399,1.02348,0.71089,0.60222,0.67448,0.4106,1.08416,0.78002,1.02777,0.00736,0.00736,0.00736
10,629.681,1.1228,0.78877,1.01793,0.77729,0.61201,0.7087,0.4448,1.05586,0.73337,1.01098,0.00703,0.00703,0.00703
11,691.61,1.10886,0.76568,1.01302,0.7421,0.63016,0.70086,0.42364,1.06366,0.72718,1.02023,0.0067,0.0067,0.0067
12,752.992,1.08484,0.74318,1.00151,0.77871,0.67373,0.75137,0.46632,1.02495,0.69271,0.999,0.00637,0.00637,0.00637
13,814.347,1.07005,0.72871,0.99938,0.82449,0.65429,0.75285,0.47636,1.02114,0.71001,0.99824,0.00604,0.00604,0.00604
14,875.916,1.0505,0.71473,0.99185,0.79616,0.6934,0.76361,0.48023,1.00756,0.69145,0.99496,0.00571,0.00571,0.00571
15,937.365,1.04199,0.70089,0.98618,0.79045,0.69994,0.77484,0.48895,0.98517,0.65717,0.98267,0.00538,0.00538,0.00538
16,998.423,1.02939,0.69072,0.98394,0.81443,0.70897,0.78021,0.49766,0.97407,0.65086,0.98147,0.00505,0.00505,0.00505
17,1060.23,1.02356,0.68244,0.9791,0.82774,0.71663,0.80052,0.51088,0.97299,0.64505,0.97557,0.00472,0.00472,0.00472
18,1121.32,0.99897,0.66215,0.9694,0.85829,0.7125,0.81012,0.52428,0.95342,0.62877,0.96728,0.00439,0.00439,0.00439
19,1182.62,0.9893,0.65328,0.96706,0.85458,0.71645,0.8209,0.52793,0.9486,0.6145,0.97085,0.00406,0.00406,0.00406
20,1244.01,0.97837,0.64317,0.96275,0.83542,0.73169,0.81779,0.52867,0.93152,0.61455,0.96453,0.00373,0.00373,0.00373
21,1331.61,0.95759,0.62947,0.96162,0.85946,0.71187,0.80194,0.5199,0.95711,0.62414,0.97498,0.0034,0.0034,0.0034
22,1392.28,0.94572,0.61724,0.95523,0.87415,0.71009,0.81257,0.52757,0.94553,0.60977,0.97004,0.00307,0.00307,0.00307
23,1453.21,0.9286,0.60229,0.95197,0.85012,0.71976,0.81983,0.53274,0.92906,0.60628,0.95938,0.00274,0.00274,0.00274
24,1513.34,0.91172,0.58687,0.94324,0.82894,0.74246,0.82604,0.53654,0.91935,0.58972,0.96007,0.00241,0.00241,0.00241
25,1573.36,0.89758,0.57652,0.93843,0.85961,0.72512,0.82713,0.5364,0.91321,0.58957,0.95513,0.00208,0.00208,0.00208
26,1634.25,0.88509,0.56698,0.93296,0.85331,0.7488,0.83324,0.55514,0.89339,0.57253,0.95322,0.00175,0.00175,0.00175
27,1695.52,0.86846,0.55465,0.93041,0.87644,0.74154,0.84223,0.55905,0.88607,0.56621,0.94624,0.00142,0.00142,0.00142
28,1755.7,0.85307,0.54308,0.92515,0.878,0.75081,0.84442,0.56137,0.88049,0.55904,0.94204,0.00109,0.00109,0.00109
29,1815.97,0.84101,0.53216,0.92113,0.87712,0.75934,0.84461,0.5755,0.86532,0.54939,0.93807,0.00076,0.00076,0.00076
30,1876.77,0.82571,0.5253,0.91427,0.88515,0.76161,0.85227,0.57758,0.86364,0.54733,0.93638,0.00043,0.00043,0.00043
