epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.0188,1.64472,1.74147,1.24246,0.86635,0.1084,0.11513,0.05217,1.90652,6.5508,1.50835,0.0332317,0.0332317,0.1
2,159.646,1.77929,1.64445,1.32763,0.21463,0.22559,0.13487,0.06829,1.88124,7.69968,1.44118,0.0643684,0.0643684,0.0978034
3,224.909,1.72495,1.42668,1.3349,0.46892,0.19443,0.22601,0.10509,1.6387,1.71674,1.38879,0.0933051,0.0933051,0.0934067
4,286.98,1.57946,1.23241,1.26275,0.80509,0.25188,0.3732,0.20574,1.44789,1.29225,1.25779,0.0901,0.0901,0.0901
5,348.901,1.44726,1.07681,1.19808,0.47975,0.43142,0.4324,0.24205,1.33351,1.05251,1.19006,0.0868,0.0868,0.0868
6,410.517,1.36687,1.00348,1.1587,0.57881,0.39598,0.45401,0.26247,1.27841,1.03819,1.1626,0.0835,0.0835,0.0835
7,472.156,1.31274,0.94383,1.1315,0.55126,0.47339,0.50655,0.29064,1.23585,0.89897,1.13132,0.0802,0.0802,0.0802
8,533.952,1.29449,0.92067,1.11206,0.57989,0.50172,0.53382,0.31502,1.19953,0.88739,1.1145,0.0769,0.0769,0.0769
9,595.998,1.26022,0.88987,1.10024,0.54602,0.5067,0.52463,0.3133,1.19974,0.86454,1.10743,0.0736,0.0736,0.0736
10,658.28,1.23798,0.8765,1.08835,0.66256,0.47446,0.54435,0.33094,1.16688,0.87387,1.09548,0.0703,0.0703,0.0703
11,719.81,1.21921,0.85226,1.07829,0.63456,0.52933,0.58281,0.35111,1.14446,0.8125,1.08976,0.067,0.067,0.067
12,782.256,1.19683,0.82461,1.06592,0.6197,0.55765,0.60359,0.36854,1.12527,0.78433,1.07162,0.0637,0.0637,0.0637
13,848.762,1.18253,0.81443,1.06251,0.61096,0.5182,0.56355,0.34203,1.16634,0.81856,1.09951,0.0604,0.0604,0.0604
14,923.714,1.16786,0.80074,1.05877,0.72534,0.57494,0.63741,0.38464,1.10177,0.76606,1.05934,0.0571,0.0571,0.0571
15,998.606,1.15519,0.78804,1.04734,0.68863,0.59814,0.64435,0.40247,1.07893,0.74724,1.05038,0.0538,0.0538,0.0538
16,1071.92,1.13589,0.7731,1.04132,0.69689,0.57731,0.63646,0.3888,1.08212,0.74075,1.05308,0.0505,0.0505,0.0505
17,1147.01,1.13703,0.76718,1.03949,0.73922,0.59926,0.67123,0.41814,1.06466,0.72132,1.04506,0.0472,0.0472,0.0472
18,1221.82,1.11252,0.74722,1.02524,0.73724,0.60248,0.67967,0.4258,1.04363,0.71166,1.0306,0.0439,0.0439,0.0439
19,1297.57,1.10057,0.73603,1.02247,0.72049,0.60781,0.67644,0.42906,1.03138,0.70222,1.02626,0.0406,0.0406,0.0406
20,1371.17,1.08975,0.72414,1.01475,0.79389,0.60088,0.69685,0.43981,1.03382,0.68907,1.02337,0.0373,0.0373,0.0373
21,1470.65,1.07868,0.72338,1.02279,0.73718,0.61305,0.68469,0.41694,1.05382,0.71943,1.03947,0.034,0.034,0.034
22,1536.75,1.07349,0.71009,1.01532,0.77348,0.61621,0.69903,0.43709,1.03695,0.69312,1.02835,0.0307,0.0307,0.0307
23,1597.57,1.04901,0.6944,1.01177,0.74968,0.6207,0.6981,0.43387,1.01821,0.68959,1.0175,0.0274,0.0274,0.0274
24,1658.27,1.03675,0.67723,1.00005,0.75753,0.62951,0.7166,0.45435,1.01381,0.67114,1.01705,0.0241,0.0241,0.0241
25,1719.71,1.01643,0.66368,0.99263,0.76174,0.66425,0.73532,0.45864,1.01587,0.6611,1.02408,0.0208,0.0208,0.0208
26,1780.72,1.00275,0.65196,0.98509,0.78207,0.65017,0.73436,0.4647,1.01032,0.65615,1.01552,0.0175,0.0175,0.0175
27,1841.69,0.98713,0.63611,0.98318,0.79911,0.66753,0.74754,0.47255,0.9852,0.63358,1.00677,0.0142,0.0142,0.0142
28,1902.59,0.96983,0.62341,0.97554,0.84721,0.66724,0.75956,0.48653,0.97066,0.62618,0.99973,0.0109,0.0109,0.0109
29,1963.67,0.95173,0.60741,0.96627,0.82296,0.69225,0.77431,0.50243,0.95663,0.60871,0.99237,0.0076,0.0076,0.0076
30,2025.09,0.94032,0.59325,0.96104,0.80729,0.69148,0.77861,0.51099,0.94643,0.59737,0.98838,0.0043,0.0043,0.0043
